text,label
"Hi, how's your day going?",0
"Let's grab some coffee.",0
"Beautiful sunset tonight!",0
"Reading a good book.",0
"Planning a hike this weekend.",0
"Traffic is terrible today.",0
"Hey, what's up?",0
"New phone, who dis?",0
"Just finished my workout.",0
"Loving this new playlist!",0
"Cooking dinner now.",0
"Movie night anyone?",0
"Watering the plants.",0
"Board game night soon.",0
"Checking my emails.",0
"Walking the dog.",0
"Rainy day vibes.",0
"Studying for exams.",0
"Painting the house.",0
"Cleaning the garage.",0
"Buying groceries.",0
"Fixing my bike.",0
"Calling my mom.",0
"Sorting laundry.",0
"Water's warm today!",0
"Playing chess online.",0
"Writing a journal.",0
"Shopping for shoes.",0
"Mowing the lawn.",0
"Baking cookies now.",0
"Meeting friends later.",0
"Driving to the beach.",0
"Learning guitar chords.",0
"Folding origami.",0
"Updating my blog.",0
"Planting flowers.",0
"Watching the stars.",0
"Organizing my desk.",0
"Volunteering tomorrow.",0
"Listening to podcasts.",0
"Sketching in my notebook.",0
"Feeding the fish.",0
"Practicing yoga.",0
"Jogging in the park.",0
"Building a shelf.",0
"Checking the weather.",0
"Writing a poem.",0
"Planning a picnic.",0
"Reading the news.",0
"Watering the garden.",0
"Packing for a trip.",0
"Buying a new lamp.",0
"Fixing the sink.",0
"Calling a friend.",0
"Sorting old photos.",0
"Playing video games.",0
"Cooking pasta tonight.",0
"Shopping for clothes.",0
"Cleaning the windows.",0
"Walking to the store.",0
"Studying history.",0
"Painting a portrait.",0
"Organizing books.",0
"Watering houseplants.",0
"Driving to work.",0
"Learning to knit.",0
"Folding clothes.",0
"Updating my resume.",0
"Planting a tree.",0
"Watching a documentary.",0
"Checking my calendar.",0
"Writing a letter.",0
"Planning a party.",0
"Reading a novel.",0
"Watering the lawn.",0
"Packing lunch.",0
"Buying a gift.",0
"Fixing my chair.",0
"Calling my dad.",0
"Sorting receipts.",0
"Playing board games.",0
"Cooking soup tonight.",0
"Shopping for food.",0
"Cleaning the kitchen.",0
"Walking in the woods.",0
"Studying math.",0
"Painting the fence.",0
"Organizing my room.",0
"Watering the flowers.",0
"Driving to the mall.",0
"Learning to cook.",0
"Folding blankets.",0
"Updating my phone.",0
"Planting vegetables.",0
